,equity
2021-08-01 16:00:00+00:00,11052.873613586728
2021-08-01 20:00:00+00:00,11052.873613586728
2021-08-02 00:00:00+00:00,11052.873613586728
2021-08-02 04:00:00+00:00,11052.873613586728
2021-08-02 08:00:00+00:00,11052.873613586728
2021-08-02 12:00:00+00:00,11052.873613586728
2021-08-02 16:00:00+00:00,11052.873613586728
2021-08-02 20:00:00+00:00,11052.873613586728
2021-08-03 00:00:00+00:00,11052.873613586728
2021-08-03 04:00:00+00:00,11052.873613586728
2021-08-03 08:00:00+00:00,11052.873613586728
2021-08-03 12:00:00+00:00,11052.873613586728
2021-08-03 16:00:00+00:00,11052.873613586728
2021-08-03 20:00:00+00:00,11052.873613586728
2021-08-04 00:00:00+00:00,11052.873613586728
2021-08-04 04:00:00+00:00,11052.873613586728
2021-08-04 08:00:00+00:00,11052.873613586728
2021-08-04 12:00:00+00:00,11052.873613586728
2021-08-04 16:00:00+00:00,11052.873613586728
2021-08-04 20:00:00+00:00,11052.873613586728
2021-08-05 00:00:00+00:00,11052.873613586728
2021-08-05 04:00:00+00:00,11052.873613586728
2021-08-05 08:00:00+00:00,11052.873613586728
2021-08-05 12:00:00+00:00,11052.873613586728
2021-08-05 16:00:00+00:00,11052.873613586728
2021-08-05 20:00:00+00:00,11052.873613586728
2021-08-06 00:00:00+00:00,11052.873613586728
2021-08-06 04:00:00+00:00,11052.873613586728
2021-08-06 08:00:00+00:00,11052.873613586728
2021-08-06 12:00:00+00:00,11052.873613586728
2021-08-06 16:00:00+00:00,11052.873613586728
2021-08-06 20:00:00+00:00,11052.873613586728
2021-08-07 00:00:00+00:00,11052.873613586728
2021-08-07 04:00:00+00:00,11052.873613586728
2021-08-07 08:00:00+00:00,11052.873613586728
2021-08-07 12:00:00+00:00,11052.873613586728
2021-08-07 16:00:00+00:00,11052.873613586728
2021-08-07 20:00:00+00:00,11052.873613586728
2021-08-08 00:00:00+00:00,11052.873613586728
2021-08-08 04:00:00+00:00,11052.873613586728
2021-08-08 08:00:00+00:00,11052.873613586728
2021-08-08 12:00:00+00:00,11052.873613586728
2021-08-08 16:00:00+00:00,11052.873613586728
2021-08-08 20:00:00+00:00,11052.873613586728
2021-08-09 00:00:00+00:00,11052.873613586728
