symbol,source,strategy,tag,params,initial_cash,final_equity,total_return_pct,max_drawdown_abs,max_drawdown_pct,annualized_return_pct,annualized_vol_pct,sharpe,n_trades,win_rate_pct,avg_profit_per_trade,profit_factor
SOLUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,6295.385336667546,-37.04614663332454,6314.259703519087,-51.86626355353972,-1.114180855529101,6.494081976074435,-0.1725277630038964,126,19.047619047619047,-29.40170367724157,0.709173429576888
XRPUSDT,binance,SmaCross,batch_SmaCross,"{'fast': 15, 'slow': 50}",10000.0,5115.701700449916,-48.84298299550084,8012.528275914755,-61.91609426157248,-1.667747514500728,7.028168379805641,-0.2392877908629597,122,26.229508196721312,-40.03523196352518,0.6912464720138691
XRPUSDT,binance,MeanRevertBands,batch_MeanRevert,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,7160.09540384576,-28.3990459615424,4289.715484519515,-41.41252847530197,-0.7710711624187017,6.107588670144871,-0.1267353517185811,192,56.770833333333336,-14.791169771636651,0.7887795022414564
XRPUSDT,binance,SmaCrossATR,batch_SmaCrossATR,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,3949.583819106692,-60.50416180893308,7256.981290751119,-64.75651744857613,-2.46056394660763,6.027566154219629,-0.4133042312132085,123,18.69918699186992,-49.19037545441709,0.5517930498497875
XRPUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,7851.260459734052,-21.48739540265948,6134.052299487652,-44.55701464267546,-0.521939724422471,5.883157911452839,-0.088949024044208,112,18.75,-19.185174466660296,0.8371936136939881
ADAUSDT,binance,SmaCross,batch_SmaCross_1h,"{'fast': 15, 'slow': 50}",10000.0,38793.47050203748,287.93470502037474,137119.29853082838,-84.56569669322872,1.32717548386021,11.939373146690672,0.1104312713640004,663,35.294117647058826,43.42906561393264,1.041566561415704
ADAUSDT,binance,MeanRevertBands,batch_MeanRevert_1h,"{'window': 20, 'k_entry': 2.0, 'k_exit': 0.5}",10000.0,4992.235945056752,-50.07764054943248,10703.192003593238,-78.32855762449195,0.1394426512009383,9.460156759909712,0.0147297670658541,1213,62.32481450948063,-4.128412246449494,0.9379422871383166
ADAUSDT,binance,SmaCrossATR,batch_SmaCrossATR_1h,"{'fast': 15, 'slow': 50, 'atr_period': 14, 'k_stop': 2.0, 'atr_filter': True, 'atr_filter_mult': 1.0}",10000.0,2457.382398925572,-75.42617601074429,36541.88491311292,-94.91309735702184,-0.1213640288657558,10.188992709627504,-0.0119184933686686,620,29.516129032258064,-12.165512259797428,0.9289472091295726
ADAUSDT,binance,SmaCrossRegime,batch_SmaCrossRegime_1h,"{'fast': 15, 'slow': 50, 'regime': 200}",10000.0,32788.49760694703,227.8849760694703,60509.49395536099,-74.35764047565505,1.0908359857274563,10.49346508579202,0.1033931720515281,781,22.791293213828425,29.178614093402103,1.0574927964972247
AVAXUSDT,binance,SmaCross,batch_SmaCross_1h,"{'fast': 15, 'slow': 50}",10000.0,136986.5439141959,1269.865439141959,337598.3904242447,-72.3528798063591,2.3443276407510982,14.0721393606263,0.1646783637704699,572,36.01398601398601,222.0044474024402,1.060025542112074
