,equity
2022-05-27 04:00:00+00:00,217070.1530557282
2022-05-27 08:00:00+00:00,217070.1530557282
2022-05-27 12:00:00+00:00,217070.1530557282
2022-05-27 16:00:00+00:00,217070.1530557282
2022-05-27 20:00:00+00:00,217070.1530557282
2022-05-28 00:00:00+00:00,217070.1530557282
2022-05-28 04:00:00+00:00,217070.1530557282
2022-05-28 08:00:00+00:00,217070.1530557282
2022-05-28 12:00:00+00:00,217070.1530557282
2022-05-28 16:00:00+00:00,217070.1530557282
2022-05-28 20:00:00+00:00,217070.1530557282
2022-05-29 00:00:00+00:00,217070.1530557282
2022-05-29 04:00:00+00:00,217070.1530557282
2022-05-29 08:00:00+00:00,217070.1530557282
2022-05-29 12:00:00+00:00,217070.1530557282
2022-05-29 16:00:00+00:00,217070.1530557282
2022-05-29 20:00:00+00:00,217070.1530557282
2022-05-30 00:00:00+00:00,217070.1530557282
2022-05-30 04:00:00+00:00,217070.1530557282
2022-05-30 08:00:00+00:00,217070.1530557282
2022-05-30 12:00:00+00:00,217070.1530557282
2022-05-30 16:00:00+00:00,217070.1530557282
2022-05-30 20:00:00+00:00,217070.1530557282
2022-05-31 00:00:00+00:00,217070.1530557282
2022-05-31 04:00:00+00:00,217070.1530557282
2022-05-31 08:00:00+00:00,217070.1530557282
2022-05-31 12:00:00+00:00,217070.1530557282
2022-05-31 16:00:00+00:00,216961.56371166208
2022-05-31 20:00:00+00:00,217997.25961983387
2022-06-01 00:00:00+00:00,213277.3068079478
2022-06-01 04:00:00+00:00,212371.45727839394
2022-06-01 08:00:00+00:00,212419.13356942308
2022-06-01 12:00:00+00:00,204457.19296755473
2022-06-01 16:00:00+00:00,196638.28123877384
2022-06-01 20:00:00+00:00,191012.47889733393
2022-06-02 00:00:00+00:00,184820.09014261022
2022-06-02 04:00:00+00:00,184820.09014261022
2022-06-02 08:00:00+00:00,184820.09014261022
2022-06-02 12:00:00+00:00,184820.09014261022
2022-06-02 16:00:00+00:00,184820.09014261022
2022-06-02 20:00:00+00:00,184820.09014261022
2022-06-03 00:00:00+00:00,184820.09014261022
2022-06-03 04:00:00+00:00,184820.09014261022
2022-06-03 08:00:00+00:00,184820.09014261022
2022-06-03 12:00:00+00:00,184820.09014261022
2022-06-03 16:00:00+00:00,184820.09014261022
2022-06-03 20:00:00+00:00,184820.09014261022
2022-06-04 00:00:00+00:00,184820.09014261022
2022-06-04 04:00:00+00:00,184820.09014261022
2022-06-04 08:00:00+00:00,184820.09014261022
2022-06-04 12:00:00+00:00,184820.09014261022
2022-06-04 16:00:00+00:00,184820.09014261022
2022-06-04 20:00:00+00:00,184820.09014261022
2022-06-05 00:00:00+00:00,184820.09014261022
2022-06-05 04:00:00+00:00,184820.09014261022
2022-06-05 08:00:00+00:00,184820.09014261022
2022-06-05 12:00:00+00:00,184820.09014261022
2022-06-05 16:00:00+00:00,184820.09014261022
2022-06-05 20:00:00+00:00,184820.09014261022
2022-06-06 00:00:00+00:00,184820.09014261022
2022-06-06 04:00:00+00:00,184820.09014261022
2022-06-06 08:00:00+00:00,184820.09014261022
2022-06-06 12:00:00+00:00,184820.09014261022
2022-06-06 16:00:00+00:00,184820.09014261022
