symbol,timeframe,fast,slow,total_return_pct,max_drawdown_pct,sharpe,n_trades,win_rate_pct,profit_factor
ETHUSDT,4h,10,75,2088.87,-40.16,0.419,150,29.33,1.391
ETHUSDT,4h,10,100,4241.37,-36.52,0.482,128,27.34,1.629
ETHUSDT,4h,10,150,3315.27,-40.28,0.45,112,24.11,1.606
ETHUSDT,4h,15,30,719.83,-46.06,0.325,209,32.54,1.349
ETHUSDT,4h,15,50,1496.07,-38.74,0.395,164,34.76,1.356
ETHUSDT,4h,15,75,1602.06,-41.78,0.391,136,30.15,1.353
ETHUSDT,4h,15,100,3154.52,-46.1,0.452,119,24.37,1.488
ETHUSDT,4h,15,150,2860.7,-39.27,0.437,106,27.36,1.6
ETHUSDT,4h,20,30,772.18,-47.55,0.332,218,33.49,1.306
ETHUSDT,4h,20,50,1029.95,-38.63,0.356,154,34.42,1.315
ETHUSDT,4h,20,75,1611.04,-44.38,0.391,132,30.3,1.391
ETHUSDT,4h,20,100,3643.09,-43.16,0.467,113,25.66,1.532
ETHUSDT,4h,20,150,3195.61,-41.86,0.448,104,25.0,1.609
ETHUSDT,4h,30,50,1484.7,-39.0,0.397,145,35.17,1.365
ETHUSDT,4h,30,75,1984.67,-48.01,0.414,133,28.57,1.412
ETHUSDT,4h,30,100,2803.93,-39.05,0.44,109,24.77,1.658
ETHUSDT,4h,30,150,2433.5,-37.99,0.423,101,27.72,1.611
ETHUSDT,4h,40,50,1940.97,-44.29,0.425,160,38.12,1.396
ETHUSDT,4h,40,75,1657.99,-42.62,0.396,131,30.53,1.491
ETHUSDT,4h,40,100,2149.38,-39.97,0.414,110,25.45,1.614
ETHUSDT,4h,40,150,1584.0,-49.78,0.383,98,26.53,1.501
LINKUSDT,4h,5,30,258.72,-73.86,0.215,282,28.37,1.071
LINKUSDT,4h,5,50,120.71,-76.55,0.174,249,22.49,1.059
LINKUSDT,4h,5,75,243.54,-76.47,0.211,207,18.84,1.092
LINKUSDT,4h,5,100,183.13,-80.34,0.196,210,15.71,1.083
LINKUSDT,4h,5,150,118.99,-85.1,0.178,200,14.5,1.052
LINKUSDT,4h,10,30,211.65,-75.07,0.202,251,28.69,1.086
LINKUSDT,4h,10,50,222.29,-76.33,0.205,222,23.87,1.077
LINKUSDT,4h,10,75,125.96,-80.02,0.178,201,17.41,1.053
LINKUSDT,4h,10,100,214.51,-78.12,0.205,191,18.32,1.101
LINKUSDT,4h,10,150,85.82,-84.05,0.165,179,14.53,1.041
LINKUSDT,4h,15,30,61.02,-76.66,0.145,243,26.75,1.035
LINKUSDT,4h,15,50,138.71,-81.74,0.18,215,24.65,1.051
LINKUSDT,4h,15,75,94.74,-82.13,0.166,195,19.49,1.044
LINKUSDT,4h,15,100,130.15,-80.84,0.18,186,20.43,1.073
LINKUSDT,4h,15,150,74.11,-84.31,0.16,174,17.82,1.038
LINKUSDT,4h,20,30,32.4,-77.69,0.129,252,28.57,1.02
LINKUSDT,4h,20,50,83.76,-82.86,0.159,219,22.37,1.043
LINKUSDT,4h,20,75,181.75,-85.38,0.195,197,21.83,1.081
LINKUSDT,4h,20,100,23.59,-85.87,0.131,181,17.68,1.015
LINKUSDT,4h,20,150,71.61,-83.82,0.159,170,18.82,1.04
LINKUSDT,4h,30,50,75.4,-81.45,0.155,215,24.19,1.043
LINKUSDT,4h,30,75,120.27,-84.58,0.176,185,18.92,1.062
LINKUSDT,4h,30,100,24.04,-86.64,0.131,179,18.99,1.019
LINKUSDT,4h,30,150,64.77,-86.04,0.155,168,17.26,1.037
LINKUSDT,4h,40,50,158.58,-85.1,0.187,216,25.93,1.075
LINKUSDT,4h,40,75,11.14,-84.2,0.12,186,19.89,1.009
LINKUSDT,4h,40,100,42.53,-81.19,0.141,175,20.57,1.034
LINKUSDT,4h,40,150,-13.99,-89.08,0.104,178,17.98,0.983
LTCUSDT,4h,5,30,-68.16,-85.77,-0.025,270,29.26,0.888
LTCUSDT,4h,5,50,-51.63,-90.52,0.023,223,23.77,0.945
LTCUSDT,4h,5,75,-49.06,-77.03,0.034,204,20.1,0.902
LTCUSDT,4h,5,100,-63.31,-78.68,0.009,203,16.75,0.831
LTCUSDT,4h,5,150,-63.46,-86.92,0.02,193,13.99,0.854
LTCUSDT,4h,10,30,-69.21,-89.06,-0.028,238,28.57,0.885
LTCUSDT,4h,10,50,-46.79,-80.32,0.034,196,26.53,0.922
LTCUSDT,4h,10,75,-21.48,-73.17,0.075,186,21.51,0.964
LTCUSDT,4h,10,100,-66.61,-83.39,0.003,186,16.13,0.836
LTCUSDT,4h,10,150,-56.74,-84.44,0.034,178,14.61,0.88
LTCUSDT,4h,15,30,-76.42,-89.62,-0.052,237,27.85,0.84
LTCUSDT,4h,15,50,-44.22,-74.95,0.039,189,25.93,0.917
LTCUSDT,4h,15,75,-44.07,-75.14,0.045,176,22.16,0.912
LTCUSDT,4h,15,100,-62.72,-81.4,0.012,171,19.88,0.84
LTCUSDT,4h,15,150,-63.02,-87.77,0.02,175,15.43,0.873
LTCUSDT,4h,20,30,-80.46,-89.06,-0.071,248,28.63,0.794
LTCUSDT,4h,20,50,-73.66,-83.05,-0.032,190,26.32,0.788
LTCUSDT,4h,20,75,-46.06,-79.26,0.041,175,19.43,0.907
LTCUSDT,4h,20,100,-55.85,-78.03,0.026,172,19.19,0.866
LTCUSDT,4h,20,150,-55.26,-86.57,0.037,181,14.92,0.901
LTCUSDT,4h,30,50,-62.47,-79.28,0.004,198,26.77,0.852
LTCUSDT,4h,30,75,-5.2,-64.7,0.093,171,22.81,0.989
LTCUSDT,4h,30,100,-25.13,-68.4,0.073,170,22.94,0.945
